2, 2, 2, 0, 0.001000 
2, 2, 2, 0, 0.001000 
2, 2, 2, 0, 0.001000 
2, 2, 2, 0, 0.000000 
2, 2, 2, 0, 0.000000 
4, 4, 4, 0, 0.000000 
4, 4, 4, 0, 0.000000 
4, 4, 4, 0, 0.000000 
4, 4, 4, 0, 0.001000 
4, 4, 4, 0, 0.000000 
8, 8, 8, 0, 0.001000 
8, 8, 8, 0, 0.001000 
8, 8, 8, 0, 0.001000 
8, 8, 8, 0, 0.001000 
8, 8, 8, 0, 0.001000 
16, 16, 16, 0, 0.006000 
16, 16, 16, 0, 0.005000 
16, 16, 16, 0, 0.005000 
16, 16, 16, 0, 0.005000 
16, 16, 16, 0, 0.005000 
32, 32, 32, 0, 0.034000 
32, 32, 32, 0, 0.031000 
32, 32, 32, 0, 0.032000 
32, 32, 32, 0, 0.032000 
32, 32, 32, 0, 0.032000 
64, 64, 64, 0, 0.219000 
64, 64, 64, 0, 0.368000 
64, 64, 64, 0, 0.257000 
64, 64, 64, 0, 0.219000 
64, 64, 64, 0, 0.247000 
128, 128, 128, 0, 2.502000 
128, 128, 128, 0, 2.390000 
128, 128, 128, 0, 2.648000 
128, 128, 128, 0, 2.962000 
128, 128, 128, 0, 2.445000 
256, 256, 256, 0, 25.165000 
256, 256, 256, 0, 27.790000 
256, 256, 256, 0, 26.577000 
256, 256, 256, 0, 26.675000 
256, 256, 256, 0, 24.900000 
512, 512, 512, 0, 249.848000 
512, 512, 512, 0, 252.044000 
512, 512, 512, 0, 461.038000 
512, 512, 512, 0, 249.889000 
512, 512, 512, 0, 258.931000 
1024, 1024, 1024, 0, 7179.854000 
1024, 1024, 1024, 0, 5006.959000 
1024, 1024, 1024, 0, 6088.737000 
1024, 1024, 1024, 0, 5406.136000 
1024, 1024, 1024, 0, 5555.767000 
2048, 2048, 2048, 0, 87076.696000 
2048, 2048, 2048, 0, 80439.689000 
2048, 2048, 2048, 0, 83219.954000 
2048, 2048, 2048, 0, 78113.968000 
2048, 2048, 2048, 0, 76017.128000 
4096, 4096, 4096, 0, 591654.431000 
