2, 2, 2, 0, 0.016000 
2, 2, 2, 0, 0.016000 
2, 2, 2, 0, 0.015000 
4, 4, 4, 0, 0.015000 
4, 4, 4, 0, 0.017000 
4, 4, 4, 0, 0.015000 
8, 8, 8, 0, 0.012000 
8, 8, 8, 0, 0.019000 
8, 8, 8, 0, 0.021000 
16, 16, 16, 0, 0.017000 
16, 16, 16, 0, 0.019000 
16, 16, 16, 0, 0.016000 
32, 32, 32, 0, 0.028000 
32, 32, 32, 0, 0.029000 
32, 32, 32, 0, 0.027000 
64, 64, 64, 0, 0.097000 
64, 64, 64, 0, 0.102000 
64, 64, 64, 0, 0.144000 
128, 128, 128, 0, 0.457000 
128, 128, 128, 0, 0.499000 
128, 128, 128, 0, 0.478000 
256, 256, 256, 0, 2.331000 
256, 256, 256, 0, 2.276000 
256, 256, 256, 0, 2.359000 
512, 512, 512, 0, 17.316000 
512, 512, 512, 0, 17.752000 
512, 512, 512, 0, 17.778000 
1024, 1024, 1024, 0, 152.316000 
1024, 1024, 1024, 0, 127.261000 
1024, 1024, 1024, 0, 128.501000 
2048, 2048, 2048, 0, 977.625000 
2048, 2048, 2048, 0, 947.935000 
2048, 2048, 2048, 0, 1009.805000 
4096, 4096, 4096, 0, 6509.603000 
4096, 4096, 4096, 0, 6340.535000 
4096, 4096, 4096, 0, 6311.364000 
8192, 8192, 8192, 0, 45044.963000 
8192, 8192, 8192, 0, 44970.150000 
8192, 8192, 8192, 0, 44310.172000
