32, 32, 32, 339.000000 
64, 64, 64, 350.750000 
128, 128, 128, 547.000000 
256, 256, 256, 1689.500000 
512, 512, 512, 9206.500000 
1024, 1024, 1024, 63652.750000
2048, 2048, 2048, 497616.000000 
